id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3790484829,挪威的森林,这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，后来木月自杀了。一年后渡边同直子不期而遇并开始交往。此时的直子已变得娴静腼腆，美丽晶莹的眸子里不时掠过一丝难以捕捉的阴翳。两人只是日复一日地在落叶飘零的东京街头漫无目标地或前或后或并肩行走不止。直子20岁生日的晚上两人发生了性关系，不料第二天直子便不知去向。几个月后直子来信说她住进一家远在深山里的精神疗养院。渡边前去探望时发现直子开始带有成熟女性的丰腴与娇美。晚间两人虽同处一室，但渡边约束了自己，分手前表示永远等待直子。返校不久，由于一次偶然相遇，渡边开始与低年级的绿子交往。绿子同内向的直子截然相反，“简直就像迎着春天的晨光蹦跳到世界上来的一头小鹿”。这期间，渡边内心十分苦闷彷徨。一方面念念不忘直子缠绵的病情与柔情，一方面又难以抗拒绿子大胆的表白和迷人的活力。不久传来直子自杀的噩耗，渡边失魂魄地四处徒步旅行。最后，在直子同房病友玲子的鼓励下，开始摸索此后的人生。,https://img1.doubanio.com/view/subject/l/public/s1221930.jpg,2001-2,https://book.douban.com/subject/1046265/,8.1,,5,,,2023-05-16 23:52:20,[日] 村上春树 / 2001 / 上海译文出版社
3790484534,海边的卡夫卡,小说的主人公是一位自称名叫田村卡夫卡——作者始终未交代其真名——的少年。他在十五岁生日前夜独自离家出走，乘坐夜行长途巴士远赴四国。出走的原因是为了逃避父亲所作的比俄底浦斯王还要可怕的预言：尔将弑父，将与尔母、尔姐交合。卡夫卡四岁时，母亲突然失踪，带走了比卡夫卡年长四岁、其实是田村家养女的姐姐，不知何故却将亲生儿子抛弃。他从未见过母亲的照片，甚至连名字也不知道。仿佛是运命在冥冥之中引导，他偶然来到某私立图书馆，遂栖身于此。馆长佐伯女士是位四十多岁气质高雅的美妇，有着波澜曲折的神秘身世。卡夫卡疑心她是自己的生母，佐伯却对此不置可否。卡夫卡恋上了佐伯，并与之发生肉体关系。小说还另设一条副线，副线的主角是老人中田，他在二战期间读小学时，经历过一次神秘的昏迷事件，从此丧失了记忆，将学过的知识完全忘记，甚至不会认字计数，却获得了与猫对话的神秘能力。中田在神智失控的情况下杀死了一个自称焦尼·沃卡（Johnny Walker）、打扮得酷似那著名威士忌酒商标上所画的英国绅士的狂人，一路搭车也来到此地。小说共分49章，奇数章基本上用写实手法讲述卡夫卡的故事，偶数章则用魔幻手法展现中田的奇遇。两种手法交互使用，编织出极富强烈虚构色彩的、奇幻诡诘的现代寓言。佐伯是将这两个故事联结为一体的结合点，而弑父的预言似乎最终也未能避免，因为狂人焦尼·沃卡居然是卡夫卡生父乔装改扮的，真正的凶手也并非中田……,https://img2.doubanio.com/view/subject/l/public/s1068003.jpg,2003-4,https://book.douban.com/subject/1059419/,8.2,,4,,,2023-05-16 23:52:06,[日] 村上春树 / 2003 / 上海译文出版社
3790483660,图解HTTP,"本书对互联网基盘——HTTP协议进行了全面系统的介绍。作者由HTTP协议的发展历史娓娓道来，严谨细致地剖析了HTTP协议的结构，列举诸多常见通信场景及实战案例，最后延伸到Web安全、最新技术动向等方面。本书的特色为在讲解的同时，辅以大量生动形象的通信图例，更好地帮助读者深刻理解HTTP通信过程中客户端与服务器之间的交互情况。读者可通过本书快速了解并掌握HTTP协议的基础，前端工程师分析抓包数据，后端工程师实现REST API、实现自己的HTTP服务器等过程中所需的HTTP相关知识点本书均有介绍。
本书适合Web开发工程师，以及对HTTP协议感兴趣的各层次读者。",https://img2.doubanio.com/view/subject/l/public/s27283822.jpg,2014-4,https://book.douban.com/subject/25863515/,8.1,,4,,,2023-05-16 23:51:21,[日] 上野宣 / 2014 / 人民邮电出版社
3780933597,深入解析 CSS,"CSS入门容易，但精通不易。学习CSS并不是学习一两个小技巧，而是要理解这门语言的方方面面，并知道如何将其搭配使用。不管你是入行不久的新手，还是有一定经验但需要提升CSS技能的开发人员，这本书都能帮助你紧跟CSS发展的步伐。
本书旨在帮你深度掌握CSS语言，并快速了解CSS的新进展和新特性。书中不仅有讲解透彻的概念介绍，而且还有详细的分步示例，能够帮助你提升Web开发技能，并激发设计灵感，让你成为真正的Web开发高手。
内容概要
● CSS基础：层叠、相对单位和盒模型
● 学习使用网页布局工具，例如浮动、Flexbox和定位
● 了解如何在项目中编写和组织CSS，学习模块化CSS，并使用模式库
● 高级话题：渐变、阴影、排版、过渡、变换、动画，等等
“本书可以让你在CSS领域从小白变大牛！”
——Pierfrancesco D'Orsogna，GamePix软件工程师
“这是一本紧跟时代的CSS宝典。”
——Phily Austria，Hollar前端研发总监
“本书行文流畅、简洁。阅读本书时，每分每秒我都非常享受。”
——Tanya Wilke，Sanlam Web开发人员、解决方案架构师、UI/UX设计师
“一份完整而清晰的CSS指南。”
——Giancarlo Massari，Swisscom高级Java工程师",https://img1.doubanio.com/view/subject/l/public/s33612779.jpg,2020-4-15,https://book.douban.com/subject/35021471/,9.5,,5,,,2023-05-08 21:52:51,Keith J. Grant / 2020 / 人民邮电出版社
3780927513,深入理解ES6,,https://img1.doubanio.com/view/subject/l/public/s29478358.jpg,2017-7-1,https://book.douban.com/subject/27072230/,9.3,,5,,,2023-05-08 21:47:58,【美】Nicholas C. Zakas / 2017 / 电子工业出版社
3711894943,JavaScript高级程序设计（第3版）,"本书是JavaScript 超级畅销书的最新版。ECMAScript 5 和HTML5 在标准之争中双双胜出，使大量专有实现和客户端扩展正式进入规范，同时也为JavaScript 增添了很多适应未来发展的新特性。本书这一版除增加5 章全新内容外，其他章节也有较大幅度的增补和修订，新内容篇幅约占三分之一。全书从JavaScript 语言实现的各个组成部分——语言核心、DOM、BOM、事件模型讲起，深入浅出地探讨了面向对象编程、Ajax 与Comet 服务器端通信，HTML5 表单、媒体、Canvas（包括WebGL）及Web Workers、地理定位、跨文档传递消息、客户端存储（包括IndexedDB）等新API，还介绍了离线应用和与维护、性能、部署相关的最佳开发实践。本书附录展望了未来的API 和ECMAScript Harmony 规范。
本书适合有一定编程经验的Web 应用开发人员阅读，也可作为高校及社会实用技术培训相关专业课程的教材。",https://img1.doubanio.com/view/subject/l/public/s8958650.jpg,2012-3-29,https://book.douban.com/subject/10546125/,9.3,,5,,,2023-05-08 21:47:34,[美] Nicholas C. Zakas / 2012 / 人民邮电出版社
